Code,Name,Industry
1101B,台泥乙特,
1312A,國喬特,塑膠工業
1522A,堤維西甲特,汽車工業
2002A,中鋼特,鋼鐵工業
2348A,海悅甲特,其他業
2836A,高雄銀甲特,金融保險業
2838A,聯邦銀甲特,金融保險業
2881A,富邦特,金融保險業
2881B,富邦金乙特,金融保險業
2881C,富邦金丙特,金融保險業
2882A,國泰特,金融保險業
2882B,國泰金乙特,金融保險業
2883B,凱基金乙特,金融保險業
2887E,台新新光戊特一,金融保險業
2887F,台新新光戊特二,金融保險業
2887G,台新新光庚特一,金融保險業
2887H,台新新光庚特二,金融保險業
2887I,台新新光辛特,金融保險業
2887Z1,台新新光己特,金融保險業
2891B,中信金乙特,金融保險業
2891C,中信金丙特,金融保險業
2897B,王道銀乙特,金融保險業
3036A,文曄甲特,
5871A,中租-KY甲特,其他業
6592A,和潤企業甲特,其他業
6592B,和潤企業乙特,
6958A,日盛台駿甲特,其他業
8112A,至上甲特,電子通路業
9941A,裕融甲特,其他業